scientificname;longitude;latitude
Euplassa cantareirae;-49.0767;-25.3658
Discaria americana;-50.0064;-25.4294
Discaria americana;-49.73;-25.42
Byrsonima brachybotrya;-50.1617;-25.095
Passiflora setulosa;-50.1617;-25.095
Senecio langei;-49.2064;-25.5347
Piper piritubanum;-48.5092;-25.5203
Gomphrena paranensis;-50.1617;-25.095
Cuphea lindmaniana;-50.5;-24.28
Schwenckia curviflora;-49.2731;-25.4281
Mimosa strobiliflora;-49.8903;-25.5447
Xylopia brasiliensis;-53.1278;-25.6158
Apuleia leiocarpa;-53.008927;-25.537385
Senecio heteroschizus;-51.3156;-26.4275
Ischnosiphon ovatus;-48.3289;-25.3069
Mimosa callidryas;-49.115;-25.2061
Monteiroa smithii;-49.2064;-25.5347
Oxalis paranaensis;-49.2064;-25.5347
Ocotea odorifera;-49.2064;-25.5347
Myrceugenia gertii;-49.2064;-25.5347
Sloanea hatschbachii;-48.5092;-25.5203
Lulia nervosa;-49.0767;-25.3658
Lulia nervosa;-49.0767;-25.3658
Matayba cristae;-49.0767;-25.3658
Oxalis praetexta;-50.0064;-25.4294
Symplocos corymboclados;-48.829656;-25.241299
Symplocos itatiaiae;-51.5831495;-25.394435
Symplocos itatiaiae;-49.6356;-25.5842
Codonanthe carnosa;-48.90806;-25.93389
Lippia pumila;-50.012929;-25.234872
Dendropanax heterophyllus;-48.580045;-25.892616
Escallonia obtusissima;-51.4581;-25.3956
Euplassa cantareirae;-48.906339;-25.339275
Cedrela fissilis;-50.37;-25.32
Disynaphia variolata;-49.713647;-24.340602
Tillandsia crocata;-49.95;-25.25
Tillandsia crocata;-50.03;-25.22
Trichocline linearifolia;-49.769797;-25.530491
Lessingianthus asteriflorus;-49.713647;-24.340602
Grammitis fluminensis;-48.83;-25.23
Grammitis fluminensis;-48.82;-25.13
Mimosa bathyrrhena;-49.96198;-25.145584
Portulaca hatschbachii;-52.436319;-26.225361
Senecio langei;-49.157618;-25.419851
Senecio langei;-49.157618;-25.419851
Solanum pabstii;-52.356349;-26.406902
Psidium araucanum;-49.33;-25
Solanum gertii;-48.918884;-25.439421
Solanum gertii;-48.5744;-25.8831
Solanum gertii;-48.5744;-25.8831
Apoclada simplex;-48.2875;-24.934167
Dalbergia nigra;-53.420556;-24.937222
Grammitis fluminensis;-48;-25
Monteiroa smithii;-49.040556;-25.550833
Deschampsia cespitosa;-51.898889;-26.397778
Eugenia vattimoana;-49.015833;-25.445556
Lessingianthus westermanii;-49.855764;-24.398889
Solanum pabstii;-54.448889;-25.647222
Solanum pabstii;-50.775278;-25.409167
Symplocos corymboclados;-48.956667;-25.890278
Apuleia leiocarpa;-53.891667;-25.353333
Euterpe edulis;-53.955556;-25.306944
Butia microspadix;-49.992778;-25.231389
Cedrela fissilis;-54.0275;-25.268889
Cedrela fissilis;-53.955556;-25.306944
Cedrela fissilis;-53.870278;-25.3025
Ocotea marumbiensis;-48.698333;-25.618611
Ocotea marumbiensis;-49.021111;-25.447222
Ocotea marumbiensis;-49.021111;-25.447222
Ocotea paranaensis;-48.973333;-25.895556
Ocotea paranaensis;-48.712222;-24.853889
Ocotea paranaensis;-48.711667;-24.854167
Ocotea paranaensis;-49.05;-25.75
Plinia hatschbachii;-48.554167;-25.089444
Leandra hatschbachii;-49.001944;-25.388889
Nectandra paranaensis;-48.716944;-24.860278
Nectandra paranaensis;-48.695278;-24.852778
Nectandra paranaensis;-48.641111;-24.818889
